age,currentClub,dateOfBirth,foot,height,id,joinedOn,marketValue,name,nationality,played_for,position,season,signedFrom
19,Retired,"Feb 21, 1992",right,"1,85m",117996,"Jan 1, 2010",€3.50m,Phil Jones,['England'],Blackburn-Rovers,Centre-Back,2010-2011,Blackburn Rovers Reserves
33,Retired,"Oct 18, 1977",right,"1,85m",28878,"Jan 6, 2005",€3.00m,Ryan Nelsen,['New Zealand'],Blackburn-Rovers,Centre-Back,2010-2011,: Ablöse free transfer
23,Without Club,"Jun 12, 1988",right,"1,95m",41978,"Oct 1, 2010",€1.00m,Hérold Goulon,['France'],Blackburn-Rovers,Centre-Back,2010-2011,Without Club
29,Retired,"Oct 6, 1981",right,"1,86m",9621,"Jul 1, 2006",€750k,Zurab Khizanishvili,['Georgia'],Blackburn-Rovers,Centre-Back,2010-2011,: Ablöse €750k
19,Norwich City,"Nov 20, 1991",right,"1,88m",121385,"Jan 1, 2010",€500k,Grant Hanley,['Scotland'],Blackburn-Rovers,Centre-Back,2010-2011,Blackburn Rovers U18
23,Malmö FF,"May 17, 1988",left,"1,78m",38073,"Jul 1, 2007",€2.00m,Martin Olsson,['Sweden'],Blackburn-Rovers,Left-Back,2010-2011,Blackburn Rovers U18
31,Retired,"Sep 20, 1979",both,"1,81m",1423,"Jul 1, 2009",€2.00m,Lars Jacobsen,['Denmark'],Blackburn-Rovers,Right-Back,2010-2011,: Ablöse free transfer
32,Skelmersdale United,"Feb 21, 1979",right,"1,82m",18875,"Aug 27, 2009",€2.00m,Pascal Chimbonda,"['Guadeloupe', 'France']",Blackburn-Rovers,Right-Back,2010-2011,Tottenham Hotspur
35,Retired,"Oct 22, 1975",right,"1,74m",7515,"Aug 1, 2009",€1.00m,Míchel Salgado,['Spain'],Blackburn-Rovers,Right-Back,2010-2011,Real Madrid
29,Retired,"Nov 3, 1981",both,"1,84m",1321,"Jan 18, 2011",€5.00m,Jermaine Jones,"['United States', 'Germany']",Blackburn-Rovers,Defensive Midfield,2010-2011,FC Schalke 04
22,Sepahan FC,"Dec 15, 1988",right,"1,96m",73734,"Jul 1, 2009",€4.00m,Steven Nzonzi,"['France', 'DR Congo']",Blackburn-Rovers,Defensive Midfield,2010-2011,: Ablöse €580k
19,Port Vale FC,"Sep 2, 1991",right,"1,83m",117997,"Jul 1, 2010",€50k,Jason Lowe,['England'],Blackburn-Rovers,Defensive Midfield,2010-2011,Blackburn Rovers U18
29,Retired,"Sep 8, 1981",left,"1,83m",22741,"Aug 27, 2004",€7.50m,Morten Gamst Pedersen,['Norway'],Blackburn-Rovers,Central Midfield,2010-2011,Tromsø IL
31,Retired,"Oct 5, 1979",both,"1,83m",6021,"Aug 26, 2008",€2.00m,Vincenzo Grella,"['Australia', 'Italy']",Blackburn-Rovers,Central Midfield,2010-2011,Torino FC
30,Retired,"Sep 13, 1980",right,"1,83m",8035,"Aug 28, 2008",€2.00m,Keith Andrews,"['Ireland', 'England']",Blackburn-Rovers,Central Midfield,2010-2011,Milton Keynes Dons
22,Woking FC,"Nov 11, 1988",right,"1,68m",42249,"Jul 1, 2013",€50k,Alan Judge,['Ireland'],Blackburn-Rovers,Central Midfield,2010-2011,Notts County
21,Retired,"Nov 16, 1989",right,"1,86m",88596,"Jan 28, 2010",,Amine Linganzi,"['Congo', 'France']",Blackburn-Rovers,Central Midfield,2010-2011,: Ablöse free transfer
32,Retired,"Feb 22, 1979",right,"1,85m",4367,"Jul 10, 2003",€3.00m,Brett Emerton,['Australia'],Blackburn-Rovers,Right Midfield,2010-2011,: Ablöse €3.00m
20,Strathspey Thistle FC,"May 13, 1991",both,"1,70m",96148,"Jul 1, 2009",€75k,Aaron Doran,['Ireland'],Blackburn-Rovers,Right Midfield,2010-2011,Blackburn Rovers U18
19,Without Club,"Sep 30, 1991",left,"1,80m",121391,"Jul 1, 2010",€50k,Josh Morris,['England'],Blackburn-Rovers,Left Midfield,2010-2011,Blackburn Rovers U18
31,Retired,"Dec 27, 1979",right,"1,78m",4243,"Jan 17, 2007",€4.50m,David Dunn,['England'],Blackburn-Rovers,Attacking Midfield,2010-2011,: Ablöse €3.20m
23,Retired,"Apr 4, 1988",right,"1,79m",55870,"Jan 31, 2011",€3.50m,Mauro Formica,"['Argentina', 'Italy']",Blackburn-Rovers,Attacking Midfield,2010-2011,CA Newell's Old Boys
16,Goole AFC,"Sep 15, 1994",,"1,80m",134415,,,Robbie Cotton,['England'],Blackburn-Rovers,Attacking Midfield,2010-2011,
21,Hibernian FC,"Jun 5, 1990",right,"1,74m",58993,"Jul 1, 2009",€3.00m,Junior Hoilett,"['Canada', 'Jamaica']",Blackburn-Rovers,Left Winger,2010-2011,Blackburn Rovers Reserves
20,Without Club,"Mar 23, 1991",left,"1,82m",67548,"Jan 1, 2011",€800k,Rubén Rochina,['Spain'],Blackburn-Rovers,Right Winger,2010-2011,FC Barcelona B
29,Club Libertad Asunción,"Aug 16, 1981",right,"1,93m",215,"Jan 14, 2011",€5.00m,Roque Santa Cruz,"['Paraguay', 'Spain']",Blackburn-Rovers,Centre-Forward,2010-2011,: Ablöse free transfer
23,Retired,"Jan 5, 1988",both,"1,87m",36371,"Aug 3, 2009",€4.50m,Nikola Kalinić,['Croatia'],Blackburn-Rovers,Centre-Forward,2010-2011,HNK Hajduk Split
23,Ankara Keciörengücü,"Dec 16, 1987",right,"1,85m",62049,"Aug 6, 2010",€4.00m,Mame Diouf,['Senegal'],Blackburn-Rovers,Centre-Forward,2010-2011,Manchester United
32,Retired,"Aug 13, 1978",right,"1,88m",12063,"Aug 1, 2010",€3.50m,Benjani,['Zimbabwe'],Blackburn-Rovers,Centre-Forward,2010-2011,: Ablöse free transfer
30,Retired,"Jan 15, 1981",right,"1,80m",3604,"Jan 30, 2009",€3.00m,El-Hadji Diouf,"['Senegal', 'France']",Blackburn-Rovers,Centre-Forward,2010-2011,Sunderland AFC
33,Retired,"Jan 25, 1978",right,"1,85m",3666,"Jul 3, 2006",€2.00m,Jason Roberts,"['Grenada', 'England']",Blackburn-Rovers,Centre-Forward,2010-2011,Wigan Athletic
32,Retired,"Oct 15, 1979",right,"1,93m",3630,"Jul 1, 2008",€2.00m,Paul Robinson,['England'],Blackburn-Rovers,Goalkeeper,2011-2012,Tottenham Hotspur
27,Retired,"Nov 16, 1984",right,"1,83m",49319,"Aug 1, 2008",€750k,Mark Bunn,"['England', 'Ireland']",Blackburn-Rovers,Goalkeeper,2011-2012,: Ablöse €150k
22,Canberra Olympic FC,"Feb 28, 1990",right,"1,90m",163344,"Jul 1, 2012",,Sebastian Usai,['Australia'],Blackburn-Rovers,Goalkeeper,2011-2012,Blackburn Rovers U21
21,Retired,"Feb 4, 1991",,"1,93m",121388,"Jul 1, 2010",,Jake Kean,['England'],Blackburn-Rovers,Goalkeeper,2011-2012,Blackburn Rovers U18
28,Retired,"Mar 28, 1984",,,29016,"Jan 25, 2007",€12.00m,Christopher Samba,"['Congo', 'France']",Blackburn-Rovers,Centre-Back,2011-2012,: Ablöse €500k
25,Without Club,"Feb 14, 1987",right,"1,94m",62688,"Aug 1, 2011",€4.00m,Scott Dann,['England'],Blackburn-Rovers,Centre-Back,2011-2012,: Ablöse €6.80m
20,Norwich City,"Nov 20, 1991",right,"1,88m",121385,"Jan 1, 2010",€2.00m,Grant Hanley,['Scotland'],Blackburn-Rovers,Centre-Back,2011-2012,Blackburn Rovers U18
30,Retired,"Oct 9, 1981",left,"1,81m",5286,"Jul 1, 2009",€1.50m,Gaël Givet,['France'],Blackburn-Rovers,Centre-Back,2011-2012,Olympique Marseille
34,Retired,"Oct 18, 1977",right,"1,85m",28878,"Jan 6, 2005",€750k,Ryan Nelsen,['New Zealand'],Blackburn-Rovers,Centre-Back,2011-2012,: Ablöse free transfer
24,Without Club,"Jun 12, 1988",right,"1,95m",41978,"Oct 1, 2010",€500k,Hérold Goulon,['France'],Blackburn-Rovers,Centre-Back,2011-2012,Without Club
22,Northwood FC,"Jan 9, 1990",left,"1,83m",173860,"Jul 1, 2011",,Myles Anderson,['England'],Blackburn-Rovers,Centre-Back,2011-2012,Aberdeen FC
24,Malmö FF,"May 17, 1988",left,"1,78m",38073,"Jul 1, 2007",€4.50m,Martin Olsson,['Sweden'],Blackburn-Rovers,Left-Back,2011-2012,Blackburn Rovers U18
24,Halmstads BK,"May 17, 1988",left,"1,80m",72264,"Jan 30, 2012",€1.50m,Marcus Olsson,['Sweden'],Blackburn-Rovers,Left-Back,2011-2012,Halmstads BK
29,Retired,"Nov 1, 1982",right,"1,82m",16091,"Jan 31, 2012",€1.50m,Bradley Orr,['England'],Blackburn-Rovers,Right-Back,2011-2012,: Ablöse €1.80m
18,Chorley FC,"Jun 14, 1994",right,"1,78m",173585,"Jul 1, 2012",€750k,Adam Henley,"['Wales', 'United States']",Blackburn-Rovers,Right-Back,2011-2012,Blackburn Rovers U18
36,Retired,"Oct 22, 1975",right,"1,74m",7515,"Aug 1, 2009",€500k,Míchel Salgado,['Spain'],Blackburn-Rovers,Right-Back,2011-2012,Real Madrid
23,Sepahan FC,"Dec 15, 1988",right,"1,96m",73734,"Jul 1, 2009",€4.50m,Steven Nzonzi,"['France', 'DR Congo']",Blackburn-Rovers,Defensive Midfield,2011-2012,: Ablöse €580k
23,APOEL Nicosia,"Mar 8, 1989",right,"1,93m",75296,"Aug 9, 2011",€2.00m,Radosav Petrovic,['Serbia'],Blackburn-Rovers,Defensive Midfield,2011-2012,FK Partizan Belgrade
20,Port Vale FC,"Sep 2, 1991",right,"1,83m",117997,"Jul 1, 2010",€1.50m,Jason Lowe,['England'],Blackburn-Rovers,Defensive Midfield,2011-2012,Blackburn Rovers U18
30,Retired,"Sep 8, 1981",left,"1,83m",22741,"Aug 27, 2004",€4.50m,Morten Gamst Pedersen,['Norway'],Blackburn-Rovers,Central Midfield,2011-2012,Tromsø IL
32,Retired,"Oct 5, 1979",both,"1,83m",6021,"Aug 26, 2008",€500k,Vincenzo Grella,"['Australia', 'Italy']",Blackburn-Rovers,Central Midfield,2011-2012,Torino FC
22,Retired,"Nov 16, 1989",right,"1,86m",88596,"Jan 28, 2010",€250k,Amine Linganzi,"['Congo', 'France']",Blackburn-Rovers,Central Midfield,2011-2012,: Ablöse free transfer
33,Retired,"Feb 22, 1979",right,"1,85m",4367,"Jul 10, 2003",€1.50m,Brett Emerton,['Australia'],Blackburn-Rovers,Right Midfield,2011-2012,: Ablöse €3.00m
20,Without Club,"Sep 30, 1991",left,"1,80m",121391,"Jul 1, 2010",€500k,Josh Morris,['England'],Blackburn-Rovers,Left Midfield,2011-2012,Blackburn Rovers U18
24,Retired,"Apr 4, 1988",right,"1,79m",55870,"Jan 31, 2011",€3.00m,Mauro Formica,"['Argentina', 'Italy']",Blackburn-Rovers,Attacking Midfield,2011-2012,CA Newell's Old Boys
32,Retired,"Dec 27, 1979",right,"1,78m",4243,"Jan 17, 2007",€1.50m,David Dunn,['England'],Blackburn-Rovers,Attacking Midfield,2011-2012,: Ablöse €3.20m
29,Retired,"Apr 1, 1983",right,"1,72m",76181,"Aug 1, 2011",€250k,Bruno Ribeiro,['Brazil'],Blackburn-Rovers,Attacking Midfield,2011-2012,Without Club
17,Goole AFC,"Sep 15, 1994",,"1,80m",134415,,,Robbie Cotton,['England'],Blackburn-Rovers,Attacking Midfield,2011-2012,
22,Hibernian FC,"Jun 5, 1990",right,"1,74m",58993,"Jul 1, 2009",€9.00m,Junior Hoilett,"['Canada', 'Jamaica']",Blackburn-Rovers,Left Winger,2011-2012,Blackburn Rovers Reserves
26,Retired,"Jan 29, 1986",left,"1,80m",27239,"Aug 23, 2011",€2.50m,Simon Vukcevic,['Montenegro'],Blackburn-Rovers,Right Winger,2011-2012,Sporting CP
21,Without Club,"Mar 23, 1991",left,"1,82m",67548,"Jan 1, 2011",€1.00m,Rubén Rochina,['Spain'],Blackburn-Rovers,Right Winger,2011-2012,FC Barcelona B
29,Retired,"Nov 22, 1982",,"1,83m",8559,"Aug 31, 2011",€7.50m,Yakubu Aiyegbeni,['Nigeria'],Blackburn-Rovers,Centre-Forward,2011-2012,: Ablöse €1.70m
24,Without Club,"Apr 14, 1988",right,"1,88m",50512,"Jan 20, 2012",€3.50m,Anthony Modeste,"['France', 'Martinique']",Blackburn-Rovers,Centre-Forward,2011-2012,: Ablöse ?
23,Glasgow United FC,"Mar 28, 1989",right,"1,75m",37677,"Aug 3, 2011",€2.50m,David Goodwillie,['Scotland'],Blackburn-Rovers,Centre-Forward,2011-2012,: Ablöse €3.40m
19,Morecambe FC,"Sep 7, 1992",right,"1,91m",164785,"Sep 1, 2011",€1.00m,Jordan Slew,"['England', 'Jamaica']",Blackburn-Rovers,Centre-Forward,2011-2012,Sheffield United
22,Without Club,"Nov 11, 1989",left,"1,88m",67369,"Jan 12, 2009",€500k,Nick Blackman,"['Barbados', 'England']",Blackburn-Rovers,Centre-Forward,2011-2012,Macclesfield Town FC
34,Retired,"Jan 25, 1978",right,"1,85m",3666,"Jul 3, 2006",€250k,Jason Roberts,"['Grenada', 'England']",Blackburn-Rovers,Centre-Forward,2011-2012,Wigan Athletic
